# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Germany-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
101.33.10.0	101.33.11.255	512
101.46.224.0	101.46.227.255	1,024
102.128.165.0	102.128.165.255	256
102.129.156.0	102.129.156.255	256
102.129.180.0	102.129.180.255	256
102.165.1.0	102.165.1.255	256
102.165.5.0	102.165.5.255	256
102.165.50.0	102.165.50.255	256
102.165.52.0	102.165.55.255	1,024
102.165.7.0	102.165.9.255	768
102.177.114.0	102.177.114.255	256
102.177.140.0	102.177.140.255	256
102.177.176.0	102.177.176.255	256
102.223.79.0	102.223.79.255	256
103.104.170.0	103.104.170.255	256
103.112.0.0	103.112.0.255	256
103.112.3.0	103.112.3.255	256
103.113.71.0	103.113.71.255	256
103.122.179.0	103.122.179.255	256
103.13.211.0	103.13.211.255	256
103.131.179.0	103.131.179.255	256
103.143.76.0	103.143.76.255	256
103.147.104.0	103.147.105.255	512
103.153.157.0	103.153.157.255	256
103.155.142.0	103.155.142.255	256
103.158.223.0	103.158.223.255	256
103.182.184.0	103.182.184.255	256
103.192.160.0	103.192.163.255	1,024
103.194.112.0	103.194.112.255	256
103.196.48.0	103.196.48.255	256
103.197.8.0	103.197.11.255	1,024
103.198.242.0	103.198.242.255	256
103.204.204.0	103.204.207.255	1,024
103.207.40.0	103.207.41.255	512
103.21.236.0	103.21.239.255	1,024
103.214.180.0	103.214.183.255	1,024
103.219.171.0	103.219.171.255	256
103.225.86.0	103.225.86.255	256
103.228.148.0	103.228.148.255	256
103.228.150.0	103.228.150.255	256
103.233.172.0	103.233.175.255	1,024
103.234.232.0	103.234.235.255	1,024
103.241.48.0	103.241.51.255	1,024
103.244.57.0	103.244.57.255	256
103.248.61.0	103.248.61.255	256
103.252.88.0	103.252.91.255	1,024
103.41.176.0	103.41.176.255	256
103.42.183.0	103.42.183.255	256
103.42.29.0	103.42.29.255	256
103.43.118.0	103.43.118.255	256
103.47.57.0	103.47.57.255	256
103.47.59.0	103.47.59.255	256
103.51.164.0	103.51.165.255	512
103.51.228.0	103.51.231.255	1,024
103.75.196.0	103.75.199.255	1,024
103.76.96.0	103.76.99.255	1,024
104.101.236.0	104.102.23.255	11,264
104.102.32.0	104.102.63.255	8,192
104.103.160.0	104.103.175.255	4,096
104.107.160.0	104.107.163.255	1,024
104.108.144.0	104.108.147.255	1,024
104.115.37.0	104.115.37.255	256
104.115.82.0	104.115.82.255	256
104.119.108.0	104.119.111.255	1,024
104.121.144.0	104.121.147.255	1,024
104.121.76.0	104.121.76.255	256
104.122.24.0	104.122.27.255	1,024
104.122.32.0	104.122.39.255	2,048
104.124.11.0	104.124.11.255	256
104.126.36.0	104.126.37.255	512
104.130.124.0	104.130.124.255	256
104.130.128.0	104.130.129.255	512
104.130.131.0	104.130.131.255	256
104.130.133.0	104.130.133.255	256
104.130.136.0	104.130.136.255	256
104.130.139.0	104.130.140.255	512
104.130.142.0	104.130.143.255	512
104.130.152.0	104.130.152.255	256
104.130.154.0	104.130.154.255	256
104.130.156.0	104.130.159.255	1,024
104.130.242.0	104.130.244.255	768
104.130.246.0	104.130.247.255	512
104.130.250.0	104.130.250.255	256
104.130.253.0	104.130.254.255	512
104.132.12.0	104.132.12.255	256
104.132.18.0	104.132.18.255	256
104.132.23.0	104.132.23.255	256
104.132.236.0	104.132.236.255	256
104.132.242.0	104.132.242.255	256
104.132.252.0	104.132.252.255	256
104.132.3.0	104.132.3.255	256
104.132.39.0	104.132.39.255	256
104.132.54.0	104.132.54.255	256
104.132.61.0	104.132.61.255	256
104.132.93.0	104.132.94.255	512
104.133.135.0	104.133.135.255	256
104.133.168.0	104.133.168.255	256
104.133.171.0	104.133.171.255	256
104.133.185.0	104.133.185.255	256
104.133.225.0	104.133.225.255	256
104.133.252.0	104.133.252.255	256
104.133.70.0	104.133.70.255	256
104.133.85.0	104.133.85.255	256
104.133.87.0	104.133.87.255	256
104.133.91.0	104.133.91.255	256
104.133.95.0	104.133.95.255	256
104.134.151.0	104.134.151.255	256
104.134.177.0	104.134.177.255	256
104.134.179.0	104.134.179.255	256
104.134.191.0	104.134.191.255	256
104.134.21.0	104.134.21.255	256
104.142.181.0	104.142.181.255	256
104.143.246.0	104.143.246.255	256
104.151.0.0	104.151.127.255	32,768
104.152.49.0	104.152.49.255	256
104.153.114.0	104.153.114.255	256
104.164.151.0	104.164.151.255	256
104.166.133.0	104.166.133.255	256
104.166.140.0	104.166.143.255	1,024
104.166.152.0	104.166.155.255	1,024
104.166.183.0	104.166.183.255	256
104.167.16.0	104.167.31.255	4,096
104.194.156.0	104.194.159.255	1,024
104.207.130.0	104.207.131.255	512
104.207.32.0	104.207.34.255	768
104.207.36.0	104.207.63.255	7,168
104.207.76.0	104.207.76.255	256
104.21.128.0	104.21.180.255	13,568
104.21.183.0	104.21.191.255	2,304
104.21.240.0	104.21.255.255	4,096
104.22.125.0	104.22.191.255	17,152
104.22.193.0	104.23.95.255	40,704
104.22.80.0	104.22.123.255	11,264
104.23.144.0	104.23.199.255	14,336
104.23.202.0	104.23.255.255	13,824
104.233.0.0	104.233.7.255	2,048
104.233.16.0	104.233.19.255	1,024
104.233.24.0	104.233.25.255	512
104.234.252.0	104.234.252.255	256
104.234.33.0	104.234.33.255	256
104.234.56.0	104.234.56.255	256
104.234.64.0	104.234.64.255	256
104.238.0.0	104.238.3.255	1,024
104.238.158.0	104.238.159.255	512
104.238.166.0	104.238.167.255	512
104.238.176.0	104.238.177.255	512
104.239.10.0	104.239.11.255	512
104.239.128.0	104.239.130.255	768
104.239.134.0	104.239.137.255	1,024
104.239.140.0	104.239.140.255	256
104.239.142.0	104.239.146.255	1,280
104.239.148.0	104.239.148.255	256
104.239.150.0	104.239.150.255	256
104.239.156.0	104.239.159.255	1,024
104.239.243.0	104.239.243.255	256
104.239.76.0	104.239.77.255	512
104.24.96.0	104.24.127.255	8,192
104.243.248.0	104.243.248.255	256
104.243.252.0	104.243.252.255	256
104.247.104.0	104.247.107.255	1,024
104.247.152.0	104.247.155.255	1,024
104.248.100.0	104.248.103.255	1,024
104.248.128.0	104.248.143.255	4,096
104.248.16.0	104.248.47.255	8,192
104.248.240.0	104.248.255.255	4,096
104.250.171.0	104.250.171.255	256
104.250.180.0	104.250.180.255	256
104.252.28.0	104.252.28.255	256
104.253.196.0	104.253.196.255	256
104.255.223.0	104.255.223.255	256
104.26.16.0	104.26.70.255	14,080
104.26.72.0	104.26.255.255	47,104
104.27.128.0	104.27.191.255	16,384
104.27.208.0	104.27.255.255	12,288
104.28.136.0	104.28.138.255	768
104.28.141.0	104.28.143.255	768
104.28.160.0	104.28.190.255	7,936
104.28.5.0	104.28.5.255	256
104.28.9.0	104.28.9.255	256
104.29.111.0	104.29.111.255	256
104.29.118.0	104.29.120.255	768
104.29.124.0	104.29.158.255	8,960
104.29.160.0	104.29.249.255	23,040
104.29.251.0	104.29.255.255	1,280
