# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Thailand-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
1.0.128.0	1.0.255.255	32,768
1.1.128.0	1.1.255.255	32,768
1.10.128.0	1.10.255.255	32,768
1.179.128.0	1.179.255.255	32,768
1.2.128.0	1.2.255.255	32,768
1.20.0.0	1.20.255.255	65,536
1.4.128.0	1.4.255.255	32,768
1.46.0.0	1.47.255.255	131,072
101.0.20.0	101.0.21.255	512
101.1.5.0	101.1.5.255	256
101.108.0.0	101.109.255.255	131,072
101.32.224.0	101.32.227.255	1,024
101.44.144.0	101.44.159.255	4,096
101.44.49.0	101.44.49.255	256
101.51.0.0	101.51.255.255	65,536
102.129.138.0	102.129.139.255	512
102.129.229.0	102.129.229.255	256
102.177.178.0	102.177.179.255	512
103.1.160.0	103.1.167.255	2,048
103.10.228.0	103.10.231.255	1,024
103.100.140.0	103.100.143.255	1,024
103.103.67.0	103.103.67.255	256
103.104.179.0	103.104.179.255	256
103.105.132.0	103.105.132.255	256
103.105.73.0	103.105.73.255	256
103.106.8.0	103.106.11.255	1,024
103.107.70.0	103.107.70.255	256
103.108.49.0	103.108.49.255	256
103.109.60.0	103.109.63.255	1,024
103.11.12.0	103.11.15.255	1,024
103.11.6.0	103.11.7.255	512
103.112.220.0	103.112.221.255	512
103.112.96.0	103.112.96.255	256
103.113.176.0	103.113.179.255	1,024
103.113.24.0	103.113.25.255	512
103.113.44.0	103.113.47.255	1,024
103.114.200.0	103.114.203.255	1,024
103.115.132.0	103.115.135.255	1,024
103.116.50.0	103.116.51.255	512
103.117.148.0	103.117.151.255	1,024
103.12.60.0	103.12.61.255	512
103.120.112.0	103.120.115.255	1,024
103.120.246.0	103.120.246.255	256
103.121.32.0	103.121.32.255	256
103.122.112.0	103.122.115.255	1,024
103.122.245.0	103.122.245.255	256
103.122.45.0	103.122.45.255	256
103.123.29.0	103.123.29.255	256
103.125.82.0	103.125.82.255	256
103.125.92.0	103.125.95.255	1,024
103.126.248.0	103.126.250.255	768
103.127.88.0	103.127.89.255	512
103.13.212.0	103.13.215.255	1,024
103.13.228.0	103.13.231.255	1,024
103.13.28.0	103.13.31.255	1,024
103.130.176.0	103.130.176.255	256
103.130.180.0	103.130.181.255	512
103.131.200.0	103.131.203.255	1,024
103.131.35.0	103.131.35.255	256
103.131.66.0	103.131.66.255	256
103.135.111.0	103.135.111.255	256
103.136.168.0	103.136.168.255	256
103.136.248.0	103.136.248.255	256
103.136.252.0	103.136.253.255	512
103.136.48.0	103.136.51.255	1,024
103.137.18.0	103.137.18.255	256
103.137.190.0	103.137.191.255	512
103.137.216.0	103.137.217.255	512
103.138.140.0	103.138.141.255	512
103.138.176.0	103.138.179.255	1,024
103.139.108.0	103.139.108.255	256
103.14.164.0	103.14.167.255	1,024
103.14.178.0	103.14.178.255	256
103.14.24.0	103.14.24.255	256
103.14.8.0	103.14.11.255	1,024
103.141.120.0	103.141.121.255	512
103.141.232.0	103.141.232.255	256
103.141.26.0	103.141.27.255	512
103.144.203.0	103.144.203.255	256
103.144.44.0	103.144.44.255	256
103.146.160.0	103.146.161.255	512
103.149.222.0	103.149.223.255	512
103.15.144.0	103.15.147.255	1,024
103.15.32.0	103.15.33.255	512
103.150.132.0	103.150.133.255	512
103.151.252.0	103.151.253.255	512
103.151.50.0	103.151.51.255	512
103.151.68.0	103.151.69.255	512
103.152.53.0	103.152.53.255	256
103.153.118.0	103.153.118.255	256
103.154.70.0	103.154.71.255	512
103.154.94.0	103.154.95.255	512
103.155.66.0	103.155.66.255	256
103.156.111.0	103.156.111.255	256
103.156.150.0	103.156.151.255	512
103.159.3.0	103.159.3.255	256
103.16.204.0	103.16.207.255	1,024
103.160.140.0	103.160.141.255	512
103.162.108.0	103.162.109.255	512
103.162.42.0	103.162.42.255	256
103.163.225.0	103.163.225.255	256
103.164.85.0	103.164.85.255	256
103.165.120.0	103.165.121.255	512
103.165.56.0	103.165.57.255	512
103.166.179.0	103.166.179.255	256
103.167.192.0	103.167.193.255	512
103.168.174.0	103.168.176.255	768
103.169.67.0	103.169.67.255	256
103.17.127.0	103.17.127.255	256
103.17.249.0	103.17.249.255	256
103.170.130.0	103.170.131.255	512
103.172.50.0	103.172.50.255	256
103.174.190.0	103.174.191.255	512
103.175.124.0	103.175.125.255	512
103.176.152.0	103.176.152.255	256
