# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/US-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
1.0.0.0	1.0.0.255	256
1.1.1.0	1.1.1.255	256
1.32.232.0	1.32.239.255	2,048
100.0.0.0	100.42.19.255	2,757,632
100.128.0.0	100.255.255.255	8,388,608
100.42.24.0	100.42.30.255	1,792
100.42.32.0	100.42.239.255	53,248
100.43.0.0	100.43.63.255	16,384
100.43.128.0	100.63.255.255	1,343,488
100.43.87.0	100.43.87.255	256
101.124.23.0	101.124.23.255	256
101.197.86.0	101.197.86.255	256
101.198.192.0	101.198.192.255	256
101.203.84.0	101.203.85.255	512
101.33.20.0	101.33.21.255	512
101.36.115.0	101.36.115.255	256
101.36.98.0	101.36.99.255	512
101.45.0.0	101.45.255.255	65,536
101.49.112.0	101.49.112.255	256
101.49.63.0	101.49.63.255	256
101.49.7.0	101.49.7.255	256
101.53.160.0	101.53.191.255	8,192
101.97.0.0	101.97.0.255	256
101.97.22.0	101.97.22.255	256
101.97.24.0	101.97.26.255	768
101.97.6.0	101.97.6.255	256
101.97.9.0	101.97.9.255	256
102.128.164.0	102.128.164.255	256
102.128.167.0	102.128.167.255	256
102.129.128.0	102.129.129.255	512
102.129.131.0	102.129.133.255	768
102.129.136.0	102.129.137.255	512
102.129.140.0	102.129.142.255	768
102.129.145.0	102.129.154.255	2,560
102.129.159.0	102.129.159.255	256
102.129.162.0	102.129.164.255	768
102.129.169.0	102.129.172.255	1,024
102.129.174.0	102.129.179.255	1,536
102.129.181.0	102.129.181.255	256
102.129.185.0	102.129.185.255	256
102.129.189.0	102.129.191.255	768
102.129.194.0	102.129.195.255	512
102.129.198.0	102.129.198.255	256
102.129.200.0	102.129.203.255	1,024
102.129.208.0	102.129.209.255	512
102.129.212.0	102.129.219.255	2,048
102.129.222.0	102.129.224.255	768
102.129.226.0	102.129.227.255	512
102.129.231.0	102.129.238.255	2,048
102.129.240.0	102.129.240.255	256
102.129.242.0	102.129.243.255	512
102.129.247.0	102.129.255.255	2,304
102.132.101.0	102.132.101.255	256
102.132.103.0	102.132.103.255	256
102.132.108.0	102.132.108.255	256
102.132.110.0	102.132.111.255	512
102.132.97.0	102.132.97.255	256
102.132.99.0	102.132.99.255	256
102.164.247.0	102.164.247.255	256
102.164.48.0	102.164.48.255	256
102.165.13.0	102.165.16.255	1,024
102.165.18.0	102.165.18.255	256
102.165.22.0	102.165.22.255	256
102.165.24.0	102.165.24.255	256
102.165.28.0	102.165.28.255	256
102.165.33.0	102.165.34.255	512
102.165.36.0	102.165.39.255	1,024
102.165.4.0	102.165.4.255	256
102.165.43.0	102.165.44.255	512
102.165.48.0	102.165.49.255	512
102.176.128.0	102.176.129.255	512
102.177.181.0	102.177.183.255	768
102.216.80.0	102.216.80.255	256
102.220.212.0	102.220.215.255	1,024
102.223.180.0	102.223.181.255	512
102.223.72.0	102.223.72.255	256
102.36.161.0	102.36.161.255	256
102.38.196.0	102.38.196.255	256
102.38.198.0	102.38.198.255	256
102.38.205.0	102.38.205.255	256
102.38.212.0	102.38.212.255	256
102.38.215.0	102.38.215.255	256
102.38.217.0	102.38.218.255	512
102.38.220.0	102.38.220.255	256
102.38.222.0	102.38.223.255	512
102.38.226.0	102.38.228.255	768
102.38.231.0	102.38.231.255	256
102.38.242.0	102.38.245.255	1,024
102.64.120.0	102.64.123.255	1,024
102.64.88.0	102.64.91.255	1,024
102.88.1.0	102.88.1.255	256
102.96.21.0	102.96.21.255	256
103.1.61.0	103.1.61.255	256
103.10.124.0	103.10.124.255	256
103.10.127.0	103.10.127.255	256
103.10.250.0	103.10.250.255	256
103.101.153.0	103.101.153.255	256
103.101.176.0	103.101.179.255	1,024
103.101.200.0	103.101.203.255	1,024
103.102.110.0	103.102.110.255	256
103.102.160.0	103.102.161.255	512
103.102.163.0	103.102.163.255	256
103.102.166.0	103.102.166.255	256
103.102.4.0	103.102.7.255	1,024
103.103.240.0	103.103.243.255	1,024
103.103.48.0	103.103.51.255	1,024
103.104.107.0	103.104.107.255	256
103.104.131.0	103.104.131.255	256
103.104.169.0	103.104.169.255	256
103.104.248.0	103.104.250.255	768
103.105.166.0	103.105.167.255	512
103.105.49.0	103.105.50.255	512
103.106.195.0	103.106.195.255	256
103.106.59.0	103.106.59.255	256
103.106.66.0	103.106.67.255	512
103.108.188.0	103.108.188.255	256
103.108.96.0	103.108.97.255	512
103.11.64.0	103.11.71.255	2,048
103.110.106.0	103.110.106.255	256
103.111.32.0	103.111.33.255	512
103.111.60.0	103.111.61.255	512
103.111.63.0	103.111.63.255	256
